id,name,classification,designation,µ_height,skin_colors,hAiR_cOlOrS,eye_colors,µ_lifespan,language,hOmEwOrLd
1,Human,Mammal,Sentient,1.8,"Light, Dark",Various,Various,79,Galactic Basic,Various
2,Yoda's species,Unknown,Sentient,0.66,Green,White,Brown,900,Galactic Basic,Unknown
3,Wookiee,Mammal,Sentient,2.28,Brown,Brown,Blue,400,Shyriiwook,Kashyyyk
4,Gungan,Amphibian,Sentient,1.96,Orange,None,Orange,70,Gungan,Naboo
5,Twi'lek,Mammal,Sentient,1.8,"Blue, Green, Red, Yellow",None,Various,80,Twi'leki,Ryloth
6,Mon Calamari,Amphibian,Sentient,1.7,Orange,None,Red,70,Mon Calamarian,Mon Cala
7,Rodian,Reptilian,Sentient,1.7,Green,None,Black,78,Rodese,Rodia
8,Droid,Artificial,Non-sentient,,Various,None,Various,,Binary,None
9,Trandoshan,Reptilian,Sentient,2,Green,None,Red,70,Dosh,Trandosha
10,Kel Dor,Mammal,Sentient,1.88,Orange,None,Black,70,Kel Dor,Dorin
11,Nautolan,Amphibian,Sentient,1.96,Green,None,Black,80,Nautila,Glee Anselm
12,Togruta,Mammal,Sentient,1.8,Red,None,Blue,94,Togruti,Shili
13,Hutt,Gastropod,Sentient,3.9,Green,None,Orange,1000,Huttese,Nal Hutta
14,Zabrak,Mammal,Sentient,1.8,Red,None,Yellow,80,Zabraki,Iridonia
15,Muun,Mammal,Sentient,2,Pale,None,Black,100,Muun,Muunilinst
16,Geonosian,Insectoid,Sentient,1.75,Brown,None,Red,90,Geonosian,Geonosis
17,Chiss,Mammal,Sentient,1.8,Blue,Blue-black,Red,80,Cheunh,Csilla
18,Mirialan,Mammal,Sentient,1.75,Green,Black,Blue,70,Mirialan,Mirial
19,Kaminoan,Amphibian,Sentient,2,Pale,None,Black,80,Kaminoan,Kamino
20,Chadra-Fan,Mammal,Sentient,1,Brown,Brown,Black,50,Chadrafan,Chad
21,Dathomirian,Hybrid,Sentient,1.7,Pale,None,Yellow,60,Paecian,Dathomir
22,Duros,Reptilian,Sentient,1.9,Blue,None,Red,70,Durese,Duro
23,Ewok,Mammal,Sentient,1,Brown,Brown,Brown,50,Ewokese,Endor
24,Gamorrean,Mammal,Sentient,1.8,Green,None,Red,45,Gamorrean,Gamorr
25,Ithorian,Mammal,Sentient,2,Brown,None,Black,85,Ithorese,Ithor
26,Jawa,Mammal,Sentient,1,Unknown,None,Yellow,80,Jawaese,Tatooine
27,Klatooinian,Reptilian,Sentient,1.8,Brown,None,Black,90,Klatooinian,Klatooine
28,Nikto,Reptilian,Sentient,1.8,Red,None,Black,68,Nikto,Kintan
29,Quarren,Amphibian,Sentient,1.8,Orange,None,Blue,79,Quarrenese,Mon Cala
30,Sullustan,Mammal,Sentient,1.6,Light,None,Black,70,Sullustese,Sullust
31,Talz,Mammal,Sentient,2,White,None,Blue,60,Talzzi,Alzoc III
32,Tusken Raider,Mammal,Sentient,1.8,Unknown,Unknown,Unknown,70,Tusken,Tatooine
33,Ugnaught,Mammal,Sentient,1,Pink,None,Black,200,Ugnaught,Gentes
34,Weequay,Mammal,Sentient,1.7,Brown,Brown,Black,91,Weequay,Sriluur
35,Zygerrian,Mammal,Sentient,1.8,Tan,None,Blue,85,Zygerrian,Zygerria
36,Jedi,Mammal,Sentient,1.8,Various,Various,Various,120,Galactic Basic,Various
37,Mandalorian,Mammal,Sentient,1.8,Various,Various,Various,80,Mando'a,Mandalore
38,Yarkora,Mammal,Sentient,2,White,None,Black,200,Yarkoran,Yarkora
39,Toydarian,Mammal,Sentient,1.2,"Blue, Green",None,Yellow,91,Toydarian,Toydaria
40,Kaminoan,Amphibian,Sentient,2,Pale,None,Black,80,Kaminoan,Kamino
